X1,X2,U
0.173019077,-2.859244039,0
0.144426636,-2.851267444,0
0.115913962,-2.842750907,0
0.087486453,-2.833698182,0
0.059149471,-2.824113119,0
0.03090834,-2.813999656,0
0.002768343,-2.803361824,0
-0.025265275,-2.792203743,0
-0.053187312,-2.780529623,0
-0.080992608,-2.768343758,0
-0.108676046,-2.755650531,0
-0.136232551,-2.742454408,0
-0.163657095,-2.728759939,0
-0.190944695,-2.714571758,0
-0.218090412,-2.699894577,0
-0.245089358,-2.68473319,0
-0.27193669,-2.66909247,0
-0.298627615,-2.652977367,0
-0.325157388,-2.636392905,0
-0.351521318,-2.619344185,0
-0.377714759,-2.601836382,0
-0.403733123,-2.583874742,0
-0.429571871,-2.56546458,0
-0.455226516,-2.546611284,0
-0.480692629,-2.527320309,0
-0.505965832,-2.507597175,0
-0.531041804,-2.48744747,0
-0.555916279,-2.466876844,0
-0.580585047,-2.445891011,0
-0.605043957,-2.424495746,0
-0.629288915,-2.402696884,0
-0.653315884,-2.380500318,0
-0.677120887,-2.357911999,0
-0.700700007,-2.334937933,0
-0.724049386,-2.311584181,0
-0.747165228,-2.287856857,0
-0.770043797,-2.263762125,0
-0.792681418,-2.239306201,0
-0.81507448,-2.214495347,0
-0.837219433,-2.189335876,0
-0.859112792,-2.163834144,0
-0.880751133,-2.137996552,0
-0.902131099,-2.111829543,0
-0.923249394,-2.085339603,0
-0.94410279,-2.058533257,0
-0.964688123,-2.031417068,0
-0.985002294,-2.003997637,0
-1.00504227,-1.976281601,0
-1.024805086,-1.948275629,0
-1.044287842,-1.919986424,0
-1.063487707,-1.891420722,0
-1.082401914,-1.862585285,0
-1.101027767,-1.833486906,0
-1.119362636,-1.804132403,0
-1.13740396,-1.77452862,0
-1.155149246,-1.744682427,0
-1.17259607,-1.714600712,0
-1.189742077,-1.684290388,0
-1.206584981,-1.653758385,0
-1.223122565,-1.623011651,0
-1.239352682,-1.592057154,0
-1.255273253,-1.560901871,0
-1.270882272,-1.529552799,0
-1.2861778,-1.498016942,0
-1.301157969,-1.466301318,0
-1.315820982,-1.434412954,0
-1.330165112,-1.402358882,0
-1.344188701,-1.370146144,0
-1.357890162,-1.337781786,0
-1.37126798,-1.305272855,0
-1.384320709,-1.272626404,0
-1.397046973,-1.239849485,0
-1.409445468,-1.206949147,0
-1.421514959,-1.173932441,0
-1.433254283,-1.140806412,0
-1.444662348,-1.107578101,0
-1.455738129,-1.074254542,0
-1.466480674,-1.040842761,0
-1.476889102,-1.007349776,0
-1.486962599,-0.973782595,0
-1.496700425,-0.940148213,0
-1.506101907,-0.906453612,0
-1.515166444,-0.872705759,0
-1.523893501,-0.838911607,0
-1.532282617,-0.805078091,0
-1.540333398,-0.771212126,0
-1.548045519,-0.737320609,0
-1.555418725,-0.703410417,0
-1.56245283,-0.6694884,0
-1.569147714,-0.63556139,0
-1.575503328,-0.60163619,0
