X1,X2,U
1.420741011,-0.374558701,3.443934673
1.416995424,-0.394587417,3.349881502
1.41304955,-0.414649213,3.255493345
1.408903058,-0.43474062,3.160779642
1.404555652,-0.45485816,3.065749864
1.40000707,-0.47499834,2.970413513
1.395257087,-0.495157661,2.874780123
1.39030551,-0.515332612,2.778859258
1.385152184,-0.535519673,2.682660509
1.379796987,-0.555715317,2.586193497
1.374239834,-0.575916009,2.489467867
1.368480674,-0.596118206,2.392493292
1.362519492,-0.61631836,2.29527947
1.356356308,-0.636512917,2.197836122
1.349991179,-0.656698319,2.100172993
1.343424196,-0.676871004,2.002299847
1.336655486,-0.697027404,1.904226474
1.329685212,-0.717163951,1.805962679
1.322513572,-0.737277074,1.70751829
1.315140802,-0.757363201,1.60890315
1.30756717,-0.777418758,1.510127121
1.299792982,-0.797440172,1.411200081
1.29181858,-0.817423871,1.312131922
1.283644342,-0.837366283,1.21293255
1.275270679,-0.857263839,1.113611887
1.26669804,-0.877112974,1.014179863
1.257926911,-0.896910123,0.914646422
1.248957809,-0.916651728,0.815021518
1.239791292,-0.936334234,0.715315111
1.23042795,-0.955954093,0.615537174
1.220868409,-0.975507761,0.515697684
1.211113331,-0.994991703,0.415806624
1.201163414,-1.014402389,0.315873984
1.19101939,-1.0337363,0.215909757
1.180682027,-1.052989923,0.115923939
1.170152128,-1.072159756,0.015926529
1.15943053,-1.091242307,-0.084072474
1.148518107,-1.110234093,-0.184063069
1.137415766,-1.129131645,-0.284035259
1.12612445,-1.147931504,-0.383979045
1.114645135,-1.166630225,-0.483884434
1.102978833,-1.185224376,-0.583741434
1.091126589,-1.203710538,-0.683540061
1.079089484,-1.222085308,-0.783270335
1.066868631,-1.240345297,-0.882922282
1.054465178,-1.258487133,-0.982485937
1.041880306,-1.27650746,-1.081951345
1.029115232,-1.294402939,-1.181308559
1.016171202,-1.312170249,-1.280547643
1.0030495,-1.329806087,-1.379658673
0.989751439,-1.34730717,-1.478631738
0.976278367,-1.364670234,-1.577456941
0.962631665,-1.381892034,-1.6761244
0.948812744,-1.398969348,-1.774624248
0.934823051,-1.415898974,-1.872946635
0.920664061,-1.432677732,-1.971081729
0.906337284,-1.449302466,-2.069019717
0.891844259,-1.465770041,-2.166750804
0.877186559,-1.482077348,-2.264265218
0.862365785,-1.4982213,-2.361553207
0.847383572,-1.514198837,-2.458605043
0.832241584,-1.530006923,-2.55541102
0.816941515,-1.545642549,-2.651961459
0.801485089,-1.561102732,-2.748246703
0.785874062,-1.576384517,-2.844257125
0.770110217,-1.591484974,-2.939983124
0.754195367,-1.606401205,-3.035415127
0.738131355,-1.621130337,-3.130543591
0.721920052,-1.63566953,-3.225359003
0.705563356,-1.650015971,-3.319851882
0.689063197,-1.664166878,-3.414012779
0.672421528,-1.6781195,-3.507832277
0.655640333,-1.691871117,-3.601300995
0.638721622,-1.705419042,-3.694409585
0.621667431,-1.718760617,-3.787148738
0.604479825,-1.731893221,-3.879509179
0.587160893,-1.744814263,-3.971481673
0.56971275,-1.757521187,-4.063057021
0.552137538,-1.770011471,-4.154226068
0.534437424,-1.782282628,-4.244979695
0.516614597,-1.794332205,-4.335308828
0.498671275,-1.806157786,-4.425204433
0.480609697,-1.817756989,-4.514657522
0.462432128,-1.82912747,-4.603659148
0.444140853,-1.840266921,-4.692200413
0.425738184,-1.851173072,-4.780272461
0.407226453,-1.861843688,-4.867866487
0.388608016,-1.872276575,-4.954973729
0.36988525,-1.882469577,-5.041585479
0.351060555,-1.892420574,-5.127693074
0.332136349,-1.902127489,-5.213287904
0.313115074,-1.911588282,-5.298361409
0.293999191,-1.920800953,-5.382905083
0.274791182,-1.929763543,-5.466910471
0.255493546,-1.938474134,-5.550369172
0.236108805,-1.946930847,-5.633272841
0.216639496,-1.955131845,-5.715613187
0.197088178,-1.963075334,-5.797381977
0.177457425,-1.97075956,-5.878571034
0.157749829,-1.978182812,-5.959172238
0.137968001,-1.985343422,-6.03917753
0.118114567,-1.992239764,-6.118578909
0.098192169,-1.998870254,-6.197368436
0.078203466,-2.005233353,-6.275538231
0.058151133,-2.011327565,-6.353080477
0.038037857,-2.017151439,-6.429987421
0.017866343,-2.022703565,-6.506251371
-0.002360693,-2.02798258,-6.581864701
-0.022640519,-2.032987165,-6.65681985
-0.04297039,-2.037716046,-6.731109323
-0.063347551,-2.042167993,-6.804725691
-0.083769231,-2.046341821,-6.877661592
-0.104232649,-2.050236392,-6.949909732
-0.124735013,-2.053850613,-7.021462887
-0.145273519,-2.057183436,-7.092313902
-0.165845353,-2.06023386,-7.162455691
-0.186447692,-2.063000929,-7.231881241
-0.207077701,-2.065483734,-7.300583608
-0.227732539,-2.067681412,-7.368555924
-0.248409353,-2.069593148,-7.435791389
-0.269105284,-2.071218171,-7.502283282
-0.289817466,-2.072555759,-7.568024953
-0.310543023,-2.073605237,-7.633009828
-0.331279076,-2.074365975,-7.697231408
-0.352022736,-2.074837392,-7.760683271
-0.372771109,-2.075018954,-7.823359072
-0.393521299,-2.074910175,-7.885252544
-0.414270401,-2.074510613,-7.946357498
-0.435015507,-2.073819877,-8.006667822
-0.455753706,-2.072837623,-8.066177486
-0.476482082,-2.071563554,-8.124880539
-0.497197717,-2.069997419,-8.182771111
-0.517897692,-2.068139017,-8.239843412
-0.538579082,-2.065988194,-8.296091736
-0.559238964,-2.063544843,-8.351510458
-0.579874412,-2.060808906,-8.406094036
-0.600482501,-2.05778037,-8.459837011
-0.621060305,-2.054459272,-8.512734009
-0.641604898,-2.050845697,-8.564779742
-0.662113355,-2.046939776,-8.615969003
-0.682582752,-2.042741688,-8.666296675
-0.703010169,-2.038251659,-8.715757724
-0.723392686,-2.033469965,-8.764347205
-0.743727385,-2.028396925,-8.812060258
-0.764011355,-2.023032911,-8.858892113
-0.784241684,-2.017378336,-8.904838086
-0.804415467,-2.011433665,-8.949893582
-0.824529804,-2.005199408,-8.994054097
-0.844581798,-1.998676123,-9.037315214
-0.864568559,-1.991864413,-9.079672606
-0.884487203,-1.984764929,-9.121122039
-0.904334853,-1.977378369,-9.161659367
-0.924108636,-1.969705478,-9.201280538
-0.943805691,-1.961747044,-9.239981587
-0.963423162,-1.953503905,-9.277758646
-0.982958201,-1.944976944,-9.314607938
-1.00240797,-1.936167088,-9.350525776
-1.021769641,-1.927075312,-9.385508569
-1.041040394,-1.917702635,-9.419552819
-1.06021742,-1.908050122,-9.452655122
-1.079297922,-1.898118883,-9.484812167
-1.09827911,-1.887910074,-9.516020739
-1.117158211,-1.877424893,-9.546277717
-1.13593246,-1.866664584,-9.575580074
-1.154599106,-1.855630437,-9.603924882
-1.17315541,-1.844323783,-9.631309306
-1.191598648,-1.832745998,-9.657730606
-1.209926108,-1.820898502,-9.683186142
-1.228135093,-1.808782758,-9.707673367
-1.246222921,-1.796400272,-9.731189832
-1.264186923,-1.783752592,-9.753733187
-1.282024449,-1.77084131,-9.775301177
-1.299732862,-1.757668058,-9.795891644
-1.317309543,-1.744234512,-9.815502531
-1.334751888,-1.730542388,-9.834131875
-1.352057312,-1.716593444,-9.851777815
-1.369223246,-1.70238948,-9.868438585
-1.386247141,-1.687932334,-9.884112519
-1.403126465,-1.673223887,-9.898798051
-1.419858703,-1.658266059,-9.912493711
-1.436441364,-1.643060808,-9.925198129
-1.452871972,-1.627610133,-9.936910036
-1.469148073,-1.611916074,-9.947628261
-1.485267234,-1.595980704,-9.957351731
-1.501227041,-1.57980614,-9.966079474
-1.517025103,-1.563394534,-9.973810617
-1.532659048,-1.546748075,-9.980544388
-1.548126529,-1.52986899,-9.986280112
-1.563425219,-1.512759544,-9.991017217
